anime_id,name,genre,type,episode,rating,members,status,date collect
,Shingeki no Kyojin: The Final Season,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,,9.06,"315,640",Upcoming,12/14/2020
,Yakusoku no Neverland 2nd Season,"Sci-Fi, Mystery, Psychological, Thriller, Shounen",TV,,,"224,777",Upcoming,12/14/2020
,Dr. Stone: Stone Wars,"Sci-Fi, Adventure, Shounen",TV,,,"183,762",Upcoming,12/14/2020
,Tensei shitara Slime Datta Ken 2nd Season,"Comedy, Fantasy",TV,,,"181,956",Upcoming,12/14/2020
,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Psychological, Drama, Thriller, Fantasy",TV,,,"124,977",Upcoming,12/14/2020
,5-toubun no Hanayome ?,"Harem, Comedy, Romance, School, Shounen",TV,,,"119,627",Upcoming,12/14/2020
,Beastars 2nd Season,"Slice of Life, Psychological, Drama, Shounen",TV,,,"78,322",Upcoming,12/14/2020
,Log Horizon: Entaku Houkai,"Action, Game, Adventure, Magic, Fantasy",TV,,,"75,356",Upcoming,12/14/2020
,Hataraku Saibou!!,"Comedy, Shounen",TV,,,"74,008",Upcoming,12/14/2020
,Nanatsu no Taizai: Fundo no Shinpan,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",TV,,,"63,203",Upcoming,12/14/2020
,Horimiya,"Slice of Life, Comedy, Romance, School, Shounen",TV,,,"54,868",Upcoming,12/14/2020
,Yuru Camp? Season 2,"Slice of Life, Comedy",TV,,,"52,428",Upcoming,12/14/2020
,Hataraku Saibou Black (TV),"Action, Seinen",TV,,,"50,435",Upcoming,12/14/2020
,Mushoku Tensei: Isekai Ittara Honki Dasu,"Drama, Magic, Fantasy",TV,,,"46,889",Upcoming,12/14/2020
,"Kumo Desu ga, Nani ka?","Adventure, Comedy, Fantasy",TV,,,"32,729",Upcoming,12/14/2020
,Kaifuku Jutsushi no Yarinaoshi,"Ecchi, Fantasy",TV,,,"27,794",Upcoming,12/14/2020
,World Trigger 2nd Season,"Action, Sci-Fi, Supernatural, School, Shounen",TV,,,"23,893",Upcoming,12/14/2020
,Non Non Biyori Nonstop,"Slice of Life, Comedy, Seinen",TV,,,"22,536",Upcoming,12/14/2020
,Ore dake Haireru Kakushi Dungeon,"Action, Adventure, Harem, Ecchi, Fantasy",TV,,,"21,051",Upcoming,12/14/2020
,Jaku-Chara Tomozaki-kun,"Drama, Romance, School",TV,,,"20,049",Upcoming,12/14/2020
,Kemono Jihen,"Action, Mystery, Demons, Supernatural, Shounen",TV,,,"15,865",Upcoming,12/14/2020
,Bungou Stray Dogs Wan!,"Slice of Life, Comedy, Supernatural",TV,,,"15,615",Upcoming,12/14/2020
,Ex-Arm,"Action, Sci-Fi, Ecchi, Seinen",TV,12,,"15,121",Upcoming,12/14/2020
,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,"Adventure, Fantasy",TV,,,"14,533",Upcoming,12/14/2020
,SK?,Sports,TV,,,"13,593",Upcoming,12/14/2020
,Urasekai Picnic,"Sci-Fi, Adventure, Mystery, Fantasy, Shoujo Ai",TV,,,"13,212",Upcoming,12/14/2020
,2.43: Seiin Koukou Danshi Volley-bu,"Sports, School",TV,,,"12,845",Upcoming,12/14/2020
,Hortensia Saga (TV),"Action, Adventure, Magic, Fantasy",TV,,,"7,583",Upcoming,12/14/2020
,Back Arrow,"Action, Fantasy, Mecha",TV,,,"5,135",Upcoming,12/14/2020
,Skate-Leading?Stars,Sports,TV,,,"4,964",Upcoming,12/14/2020
,Majutsushi Orphen Hagure Tabi: Kimluck-hen,"Action, Adventure, Drama, Magic, Martial Arts, Fantasy",TV,,,"4,056",Upcoming,12/14/2020
,Tenchi Souzou Design-bu,"Slice of Life, Comedy, Fantasy, Seinen",TV,,,"3,828",Upcoming,12/14/2020
,Kai Byoui Ramune,"Psychological, Supernatural, Shounen",TV,,,"3,633",Upcoming,12/14/2020
,Wonder Egg Priority,Slice of Life,TV,,,"4,409",Upcoming,12/14/2020
,Project Scard: Praeter no Kizu,"Action, Super Power",TV,,,"3,522",Upcoming,12/14/2020
,Show by Rock!! Stars!!,"Music, Comedy",TV,,,"2,924",Upcoming,12/14/2020
,Yatogame-chan Kansatsu Nikki Sansatsume,"Slice of Life, Comedy, School, Shounen",TV,,,"2,699",Upcoming,12/14/2020
,Gekidol,Music,TV,,,"2,572",Upcoming,12/14/2020
,World Witches Hasshin Shimasu!,"Military, Comedy",TV,,,"2,305",Upcoming,12/14/2020
,Soukou Musume Senki,"Action, Military, Fantasy",TV,,,"2,293",Upcoming,12/14/2020
,Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu!!,"Romance, Ecchi",TV,,,"2,265",Upcoming,12/14/2020
,Idoly Pride,Music,TV,,,"1,951",Upcoming,12/14/2020
,I?Chu: Halfway Through the Idol,"Music, Slice of Life, Comedy, School",TV,,,"1,939",Upcoming,12/14/2020
,WIXOSS Diva(A)Live,"Game, Psychological",TV,,,"1,735",Upcoming,12/14/2020
,Yami Shibai 8,"Dementia, Horror, Supernatural",TV,,,"1,712",Upcoming,12/14/2020
,Shin Chuuka Ichiban! 2nd Season,"Comedy, Shounen",TV,,,"1,133",Upcoming,12/14/2020
,Maiko-san Chi no Makanai-san,"Slice of Life, Comedy, Shounen",TV,,,"1,120",Upcoming,12/14/2020
,Idolls!,Music,TV,,,361,Upcoming,12/14/2020
,Tropical-Rouge! Precure,"Action, Magic, Fantasy, Shoujo",TV,,,250,Upcoming,12/14/2020
,Abciee Shuugyou Nikki,Comedy,TV,,,63,Upcoming,12/14/2020
,Tenkuu Shinpan,"Action, Mystery, Horror",ONA,,,"4,821",Upcoming,12/14/2020
,Tian Guan Ci Fu Special,"Historical, Supernatural, Drama",ONA,1,,"2,684",Upcoming,12/14/2020
,Planetarian: Snow Globe,"Drama, Sci-Fi",OVA,1,,"5,783",Upcoming,12/14/2020
,Saezuru Tori wa Habatakanai: Don't Stay Gold,"Drama, Shounen Ai",OVA,1,,"3,825",Upcoming,12/14/2020
,Evangelion: 3.0+1.0 Thrice Upon a Time,"Action, Sci-Fi, Psychological, Drama, Mecha",Movie,1,,"148,808",Upcoming,12/14/2020
,Princess Principal: Crown Handler 1,"Action, Mystery, Historical",Movie,1,,"24,554",Upcoming,12/14/2020
,Gintama: The Final,"Action, Comedy, Drama, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,,"15,033",Upcoming,12/14/2020
,Seitokai Yakuindomo Movie 2,"Comedy, School, Shounen, Slice of Life",Movie,1,,"12,753",Upcoming,12/14/2020
,Bishoujo Senshi Sailor Moon Eternal Movie 1,"Demons, Magic, Romance, Shoujo",Movie,1,,"8,731",Upcoming,12/14/2020
,Girls & Panzer: Saishuushou Part 3,"Military, School",Movie,1,,"6,702",Upcoming,12/14/2020
,Bishoujo Senshi Sailor Moon Eternal Movie 2,"Demons, Magic, Romance, Shoujo",Movie,1,,"5,029",Upcoming,12/14/2020
,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku","Action, Military, Sci-Fi, Space, Drama",Movie,1,,"2,055",Upcoming,12/14/2020
,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,"Action, Military, Sci-Fi, Space, Drama",Movie,1,,"1,485",Upcoming,12/14/2020
,Eiga Daisuki Pompo-san (Movie),"Comedy, Drama",Movie,1,,"1,263",Upcoming,12/14/2020
,Tokyo 7th Sisters: Bokura wa Aozora ni Naru,"Music, Slice of Life, Comedy, School",Movie,1,,801,Upcoming,12/14/2020
,Healin' Good?Precure Movie: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!,"Action, Magic, Fantasy, Shoujo",Movie,1,,651,Upcoming,12/14/2020
,Gintama: The Semi-Final,"Action, Comedy, Historical, Parody, Samurai, Shounen",Special,2,,"8,985",Upcoming,12/14/2020
,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Slice of Life, Demons, Supernatural, Drama, Shoujo",,,,"11,638",Upcoming,12/14/2020
,Alice in Deadly School,"Comedy, School, Shounen",,,,"10,705",Upcoming,12/14/2020
,Azur Lane: Bisoku Zenshin!,"Military, Sci-Fi, Slice of Life, Comedy",,,,"7,049",Upcoming,12/14/2020
,Otona no Bouguya-san 2nd Season,"Comedy, Ecchi, Fantasy",,12,,"1,473",Upcoming,12/14/2020
,Youjo Shachou,Comedy,,,,183,Upcoming,12/14/2020
